proj_name,exptid,label,checkpoint,repeats,success_rate_mean,success_rate_std,mean_mxd_mean,mean_mxd_std,mean_normalized_waypoints_mean,mean_normalized_waypoints_std,fall_rate_mean,fall_rate_std,stuck_rate_mean,stuck_rate_std,mean_edge_violation_mean,mean_edge_violation_std
parkour_new,new_terrain_base_02,main,8500,10,0.9027667984189721,0.009386831689358038,11.55590821615321,0.08104635081812256,0.9659584980237153,0.006204282558117414,0.09723320158102768,0.009386831689358036,0.0,0.0,0.03538776306990656,0.0007898322893543835
parkour_new,new_terrain_base_02,main,9000,10,0.9106719367588934,0.01592841239494853,11.567777083089702,0.08694001752464746,0.9675889328063241,0.005871760678555568,0.08932806324110673,0.015928412394948525,0.0,0.0,0.030691517917821813,0.0010133667224505407
parkour_new,new_terrain_base_02,main,9500,10,0.9130434782608695,0.01936355527891841,11.617820674793524,0.12045412149437558,0.9686264822134387,0.008775154218744481,0.08695652173913043,0.019363555278918403,0.0,0.0,0.030907966413379367,0.0012384206816842722
parkour_new,new_terrain_base_02,main,10000,10,0.8774703557312252,0.009353485823082385,11.253693068239528,0.09724701026104214,0.9468379446640315,0.006219019358719186,0.12252964426877469,0.009353485823082399,0.0,0.0,0.03215256326054573,0.0007967764112996778
parkour_new,new_terrain_base_02,main,10500,10,0.8885375494071145,0.010723051356719785,11.503421242835493,0.05664735362107001,0.9593379446640317,0.0043413646741529074,0.11146245059288536,0.010723051356719792,0.0,0.0,0.03527881844019333,0.0008859734483900036
parkour_new,new_terrain_base_02,main,11000,10,0.925691699604743,0.007865513336811238,11.72334281507688,0.05861203591743323,0.9767786561264821,0.003933997873002838,0.0743083003952569,0.007865513336811226,0.0,0.0,0.025683853394269474,0.001156798415351417
parkour_new,new_terrain_base_02,main,11500,10,0.8964426877470355,0.013669262028292953,11.383801204672917,0.12968312358743422,0.9555335968379447,0.00879113495544994,0.10355731225296441,0.01366926202829295,0.0,0.0,0.026930877901785454,0.0005798957340778818
parkour_new,new_terrain_base_02,main,12000,10,0.9446640316205535,0.012118347602178583,11.74962188622697,0.08541904078842429,0.9807312252964427,0.005563513146347543,0.05533596837944664,0.01211834760217857,0.0,0.0,0.0254217231151427,0.0011268982155782806
parkour_new,new_terrain_base_02,main,12500,10,0.9288537549407115,0.01590878402964279,11.670401462924339,0.10506293239335841,0.973814229249012,0.007004667430216306,0.07114624505928853,0.015908784029642773,0.0,0.0,0.025325564148582176,0.0005992760767651684
parkour_new,new_terrain_base_02,main,13000,10,0.9249011857707512,0.01489442188254291,11.647480809476535,0.09131130265301626,0.9734683794466402,0.00630032737601114,0.075098814229249,0.014894421882542903,0.0,0.0,0.022370458218301144,0.0011560630887243618
parkour_new,new_terrain_base_02,main,13500,10,0.9162055335968379,0.01476801714803905,11.59376798208523,0.0792709691346835,0.9675889328063241,0.0064766678293177735,0.08379446640316204,0.014768017148039056,0.0,0.0,0.0279849019764662,0.001602688255752585
parkour_new,new_terrain_base_02,main,14000,10,0.9332015810276679,0.008740452327073501,11.752401996130057,0.046140995318001,0.9790019762845852,0.002840372006285539,0.06679841897233202,0.008740452327073512,0.0,0.0,0.026754887712188025,0.0008503861988598312
parkour_new,new_terrain_base_02,main,14500,10,0.8964426877470355,0.00981001869248288,11.486654756356605,0.07778613981356194,0.9616600790513836,0.005078128520762692,0.10355731225296443,0.009810018692482892,0.0,0.0,0.02264385081418587,0.0006659997511612794
parkour_new,new_terrain_base_02,main,15000,10,0.9355731225296442,0.014899665474285189,11.68670935995965,0.08925786429612752,0.9757411067193678,0.006394166386400096,0.06442687747035572,0.014899665474285189,0.0,0.0,0.021112009241193004,0.0007588406154508794
